accountNumber,agentId,name,macAddress,family,ipAddress,gateway,netMask,timestamp
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 01:28:39
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 01:28:39
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 01:47:02
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 01:47:02
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 02:20:15
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 02:20:15
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 02:20:15
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 02:20:15
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 02:04:12
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 02:04:12
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 02:37:23
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 02:37:23
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 02:54:34
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 02:54:34
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 03:28:57
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 03:28:57
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 03:43:59
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 03:43:59
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 03:11:46
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 03:11:46
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 04:15:14
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 04:15:14
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 04:47:35
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 04:47:35
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 04:00:02
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 04:00:02
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 04:32:32
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 04:32:32
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 05:06:45
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 05:06:45
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 05:06:45
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 05:06:45
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 05:22:55
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 05:22:55
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 05:59:20
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 05:59:20
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 05:41:11
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 05:41:11
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 06:16:36
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 06:16:36
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 06:35:52
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 06:35:52
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 06:35:52
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 06:35:52
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 06:53:05
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 06:53:05
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 07:09:11
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 07:09:11
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 07:44:27
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 07:44:27
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 07:24:08
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 07:24:08
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 08:34:41
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 08:34:41
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 08:34:41
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 08:34:41
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 08:19:43
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 08:19:43
185946404262,o-2egn2tmcilnkvgqd3,ens192,00:50:56:01:1A:C3,Ipv4,192.168.92.64,0.0.0.0,255.255.255.0,2018-06-08 08:02:37
185946404262,o-2egn2tmcilnkvgqd3,virbr0,52:54:00:29:B3:BE,Ipv4,192.168.122.1,0.0.0.0,255.255.255.0,2018-06-08 08:02:37
